Pair.ID,LC,Distance,LUCAS.ID.pa,Bas.pa,Cmic.pa,Xylosidase.pa,Cellulase.pa,beta.glucosidase.pa,N.actylglucosaminidase.pa,Acid.phosphatase.pa,MWD.pa,WSA.pa,LUCAS.ID.non,Bas.non,Cmic.non,Xylosidase.non,Cellulase.non,beta.glucosidase.non,N.actylglucosaminidase.non,Acid.phosphatase.non,MWD.non,WSA.non
27,Grassland,98081.59868,38842482,3.722067393,663.7756946,324.43,87.41,521.56,212.48,1461.02,1.490283019,95,37922448,1.558380598,568.5383663,137.86,153.22,1025.96,154.27,924.22,1.599657895,84.21052632
28,Grassland,218220.0724,31783686,0.826022853,168.182332,17.71,2.95,60.46,83.94,533.14,1.340978648,66.66666667,31063480,0.501510574,205.3341627,64.44,29.75,183.25,82.24,489.9,0.605251852,76.19047619
29,Grassland,11661.90379,30902056,0.929851775,443.9446168,33.52,27.47,407.88,136.6,383.27,0.820070776,58.33333333,30962066,2.476072094,376.580761,178.9,50.6,455.37,427.77,1174.04,1.043444206,84.21052632
30,Grassland,16492.4225,31122070,0.803617099,181.4961637,112.03,34.86,369.52,253.17,739.6,1.289148837,62.5,30962066,2.476072094,376.580761,178.9,50.6,455.37,427.77,1174.04,1.043444206,84.21052632
31,Grassland,25612.49695,31162082,1.458771353,111.2120018,44.31,23.06,266.87,101.19,226.33,1.747469052,54.54545455,30962066,2.476072094,376.580761,178.9,50.6,455.37,427.77,1174.04,1.043444206,84.21052632
32,Grassland,50990.19514,34003734,2.906282183,913.2849296,106.53,43.51,344.52,166.13,1078.89,1.703059055,93.93939394,34383700,7.221941992,1361.894283,214.42,85.07,610.02,279.31,2248.31,1.501221429,92.59259259
33,Grassland,504067.4558,47361656,1.125314739,253.7209633,65.9,69.28,555.76,447.5,607.93,2.135802846,85.71428571,45762134,1.32618862,362.8042349,22.68,26.69,280.28,245.57,311.58,1.292704981,71.42857143
34,Grassland,264620.483,33363162,3.757279345,604.3492569,104.35,44.31,374.5,101.05,985.39,1.894217703,88.57142857,34862944,1.146197754,668.0448045,42.65,38.31,311.28,245.73,554.36,1.860355183,100
35,Grassland,35777.08764,34902982,1.846496107,298.793845,88.19,45.83,317.49,226.66,870.77,1.046679032,67.64705882,35062950,0.981641659,517.0370109,117.37,79.47,486.1,151.12,807.1,1.598174267,70.27027027
36,Grassland,65513.35742,42182510,1.103164557,173.8914205,71.5,38.44,364.43,100.11,870.84,0.978126866,55.55555556,41622476,1.081041968,247.9990352,45.84,26.41,190.26,75.54,600.9,1.826609971,68.42105263
37,Grassland,52000,34242272,2.412289807,640.1413051,146.09,57.42,410.93,201.08,1167.88,1.658939655,92.10526316,34442320,1.358342189,401.9869642,157.05,81.21,397.68,322.96,550.9,2.218837778,91.66666667
38,Grassland,16124.5155,37382484,3.340616375,915.6852193,254.54,87.01,490.14,132.66,1224.65,0.960645161,42.42424242,37222482,2.310106593,687.1229109,189.18,171.43,762.22,211.77,1037.38,1.689878521,75
39,Grassland,45254.834,28282190,1.398137138,317.9418681,99.31,51.88,411.69,153.22,923.08,1.268095142,65,28602222,0.460723297,132.455621,31.86,19.95,160.54,97.47,332.91,1.193621101,40
40,Grassland,66753.27707,34382156,1.092528068,368.9638663,102.37,44.91,426.23,85.36,116.76,2.182822835,41.93548387,35042146,0.97808875,654.4942,81.68,101.91,591.1,197.67,274.82,1.511100775,87.5
41,Grassland,90088.84504,35002236,3.103001017,724.3290946,979.28,239.96,1129.66,354.06,2247.16,1.513550802,79.31034483,35042146,0.97808875,654.4942,81.68,101.91,591.1,197.67,274.82,1.511100775,87.5
42,Grassland,139269.5229,54202132,0.373402915,104.6225181,12.19,12.63,141.77,39.7,201.63,1.019663408,33.33333333,53902268,1.096372093,424.4452713,100.35,89.46,546.52,369.1,589.89,1.845827731,83.33333333
43,Grassland,21540.65923,54382676,1.355716878,314.6155811,42.44,38.16,304.83,144.47,383.41,2.144411232,89.47368421,54462696,0.761619789,214.3352617,93.19,54.9,438.76,81.06,572.66,2.209181159,84.21052632
44,Grassland,169198.1087,50882638,0.986517651,73.11028325,12.86,7.15,26.21,22.08,37.57,1.263151142,10.81081081,52362556,0.609586394,247.4920758,14.87,19.76,207.89,92.85,229.52,2.141107029,83.33333333
45,Grassland,124193.3976,52042676,1.410320957,385.9520313,72.78,115.17,535.31,283.64,1145.99,1.626866071,78.94736842,52362556,0.609586394,247.4920758,14.87,19.76,207.89,92.85,229.52,2.141107029,83.33333333
46,Grassland,65604.87787,54382628,1.514006515,437.8843286,71.93,94.34,588.28,316.92,421.57,2.444124046,94.87179487,54902668,1.774425574,769.0172494,67.42,88.18,584.54,326.5,553.01,1.927404362,94.59459459
47,Grassland,25298.22128,55622854,0.727934316,288.3858929,61.01,67.26,438.6,179.8,623.84,2.087715719,92.30769231,55382862,0.482932506,224.0914145,43.13,85.94,541.08,106.1,424.63,1.806148148,57.89473684
48,Grassland,141322.3266,33863294,9.239524703,1198.940796,321.83,46.86,389.17,320.34,2835.22,1.129949495,84.375,34503420,2.938892062,439.9068469,56.96,40.71,425.13,160.8,606.59,1.862301136,78.78787879
49,Grassland,127310.6437,35423508,1.444790855,550.659392,46.71,7.91,130.85,83.5,1097.2,1.206405512,85.71428571,34503420,2.938892062,439.9068469,56.96,40.71,425.13,160.8,606.59,1.862301136,78.78787879
50,Forest,88543.77448,49803394,0.478629579,151.0310945,93.97,29.42,236.37,116.42,432.32,0.578540373,68.18181818,50083478,0.893907732,102.9194663,37.82,8.53,92.4,41.29,342.96,1.387734581,66.66666667
51,Forest,100019.998,51083476,0.701811907,82.54644809,9.15,3.17,40.2,38.66,220.77,0.300063604,13.79310345,50083478,0.893907732,102.9194663,37.82,8.53,92.4,41.29,342.96,1.387734581,66.66666667
52,Forest,149893.2954,51363400,1.222954634,176.9207703,25.97,19.33,229.54,82,292.65,0.414555249,7.894736842,50083478,0.893907732,102.9194663,37.82,8.53,92.4,41.29,342.96,1.387734581,66.66666667
53,Forest,72138.75519,33062044,0.618085106,302.7243499,36.62,31.12,280.57,103.94,110.08,1.668992405,75.75757576,33581994,1.360430464,266.836755,23.92,33.13,343.43,169.69,285.95,1.96764791,21.73913043
54,Forest,74242.84477,31542332,3.046626984,454.1175926,98.73,29.09,355.31,148.51,1494.8,2.069612595,81.25,32202298,1.605474453,257.8452555,17.68,30.06,309.66,329.13,232.79,0.746562081,44.44444444
55,Forest,42941.82111,32402336,2.149893843,335.935598,183.95,129.75,771.53,710.94,1302.27,1.155021583,62.85714286,32202298,1.605474453,257.8452555,17.68,30.06,309.66,329.13,232.79,0.746562081,44.44444444
56,Forest,213354.1657,39023026,1.138322884,136.978187,70.65,7.52,109.52,98.19,943.52,1.730593074,78.37837838,40102842,1.883007117,851.168446,96.11,135.14,897.82,581.26,1425.43,2.173452663,97.43589744
57,Forest,26000,40002866,3.345522543,785.9333749,70.52,74.51,457,236.39,505.78,2.148685083,94.87179487,40102842,1.883007117,851.168446,96.11,135.14,897.82,581.26,1425.43,2.173452663,97.43589744
58,Forest,40049.96879,49724396,0.584908903,74.63057179,48.8,8.9,115.39,119.77,426.31,0.597842043,52.63157895,49704436,1.109465318,260.5544316,61.79,35.67,308.83,278.71,895.27,0.795521226,68.18181818
59,Forest,91301.69768,41902558,1.994279176,478.5531401,115.73,171.84,963.98,248.75,1248.44,0.583019444,37.14285714,41102514,1.112903226,145.8709677,21.81,10.53,166.45,165.95,206.69,1.616659389,50
60,Forest,23409.39982,52584068,0.952825112,368.2966816,27.75,16.57,219.11,137.91,487.58,0.834643817,63.63636364,52364076,1.268222176,398.13036,70.27,114.64,854.72,264.68,981.04,1.325077586,70.96774194
61,Forest,34058.77273,46422690,13.37333736,1583.991939,276.78,72.93,847.26,184.07,2921.7,1.236928571,87.5,46162668,4.990790899,609.9555796,312.61,80.51,711.92,537.53,1810.57,1.38526699,72.22222222
62,Forest,45122.05669,46282880,0.485466147,200.8751034,28.05,6.94,98.72,74.14,506.28,1.084786026,63.33333333,46382836,3.044657097,491.013468,337.87,65.69,682.63,205.27,1967.9,1.539879167,75
63,Forest,60000,37802362,2.078597573,820.8541707,40.34,24.86,350.32,321.12,864.81,2.234610169,96.15384615,38282398,2.633008501,425.7213353,56.54,9.5,140.82,386.06,2034.99,1.253095628,56
64,Forest,26000,38022398,1.894487511,543.5511054,66.53,114.41,927.43,462.59,1047.47,2.283625767,94.28571429,38282398,2.633008501,425.7213353,56.54,9.5,140.82,386.06,2034.99,1.253095628,56
65,Forest,60959.00262,40783218,0.821156773,107.8136733,51.01,8.84,93.61,140.13,717.98,0.411281818,60,41243258,2.47146402,219.1364764,404.16,46.74,375.59,322.95,1550.95,1.190389474,53.84615385
66,Forest,80224.68448,41303178,0.521337521,61.18049141,162.4,11.18,126.27,36.21,709.88,0.453416223,36.66666667,41243258,2.47146402,219.1364764,404.16,46.74,375.59,322.95,1550.95,1.190389474,53.84615385
67,Forest,51224.9939,31722110,0.500088605,864.6531987,177.89,233.22,1228.95,391.36,1152.13,1.998108407,94.28571429,32122142,0.70029347,307.7637564,62.86,17.19,305.89,102.36,210.1,1.483444056,85.71428571
68,Forest,66241.98065,39942574,12.42932752,2190.386883,120.41,57.99,817.39,885.44,2385.9,1.461911765,70,40262632,4.979570727,812.6287389,74.42,58.59,562.81,371.44,1234.58,1.804913333,92.85714286
69,Forest,12000,40262620,4.883453562,1529.59994,34.41,16.33,257.45,306.56,1454.32,2.212819149,97.14285714,40262632,4.979570727,812.6287389,74.42,58.59,562.81,371.44,1234.58,1.804913333,92.85714286
70,Forest,84095.18417,40962778,1.402664933,193.7296068,86.2,7.52,98.65,127.86,910.67,1.58590597,69.23076923,40602702,1.67222007,463.344311,51.97,26.87,252.16,108.26,696.51,1.935497788,94.59459459
71,Forest,106301.4581,31222070,0.542203885,421.2924188,162.55,101.75,631.12,279.51,788.37,1.103635227,53.33333333,30182092,0,116.8937704,49.05,21.08,279.01,136.04,301.98,1.274020619,50
72,Forest,60000,41883154,0.88795045,176.8008008,53.35,5.94,105.72,96.16,1046.54,1.758911523,89.18918919,42483154,0.891632115,105.41073,39.77,4.35,81.98,65.71,506.85,1.385355337,50
73,Forest,30594.11708,42183148,2.315527682,257.8313149,190.23,22.73,238.62,74.72,2501.44,1.259645946,59.375,42483154,0.891632115,105.41073,39.77,4.35,81.98,65.71,506.85,1.385355337,50
74,Forest,74215.90126,32522074,0.281546811,374.4572592,79.39,23.51,421.21,117.46,218.92,0.926471459,57.14285714,32702146,2.29327018,463.3170186,106.4,54.58,571.33,158.83,1008.3,0.976258364,68.42105263
75,Forest,80448.74144,33162080,0.454558911,245.0932504,64.49,14.91,306.63,31.52,215.72,1.157590054,24,32702146,2.29327018,463.3170186,106.4,54.58,571.33,158.83,1008.3,0.976258364,68.42105263
76,Forest,100319.4896,46163088,0.81372549,60.87683824,165.82,16.15,126.06,33.67,275.2,0.539962291,38.46153846,47083048,0.34646098,430.0735632,41.56,111.3,562.11,115.15,383.8,2.073904839,90.32258065
77,Forest,118152.4439,48263042,2.426786135,397.379706,40.52,13.7,227.38,259.21,1093.7,1.59942,94.73684211,47083048,0.34646098,430.0735632,41.56,111.3,562.11,115.15,383.8,2.073904839,90.32258065
78,Forest,61773.78085,31441666,0.593361702,236.7513191,45.02,30.16,406.82,381.2,540.74,1.257342417,17.64705882,31141720,0.314054054,525.0983784,24.81,22.4,342.1,132.84,320.83,2.199375,100
79,Forest,122800.6515,32201782,1.957699805,763.1901235,63.19,82.35,651.09,317.43,627.54,2.057539267,78.94736842,31141720,0.314054054,525.0983784,24.81,22.4,342.1,132.84,320.83,2.199375,100
80,Forest,83450.58418,33502280,4.836220472,889.080315,60.46,16.78,254.63,683.06,2250.3,2.098816327,97.2972973,32902338,2.119148936,267.7544681,222.94,54.77,578.06,248,2553.46,1.806706122,88.88888889
81,Forest,79924.96481,47262412,5.854292343,990.3511214,21.04,7.6,138.05,350.76,1606.09,1.770171598,91.89189189,47942370,1.018001978,607.0904055,57.16,50.51,354.56,147.16,386.96,2.177023474,94.59459459
82,Forest,40249.2236,37562340,0.983186855,424.6310024,110.37,114.22,647.72,318.76,888.32,1.966205882,97.14285714,37202358,0.914936616,342.0744687,49.37,12.58,142.04,117.08,707.25,1.889296552,82.14285714
83,Forest,206891.2758,54401670,1.322767075,448.5197898,34.55,12.67,265.27,269.44,478.85,0.801396774,25.80645161,53381850,1.461267606,917.0374283,61.86,38.02,412.17,93.83,451.09,1.769987973,90
84,Forest,21633.30765,56702146,0.575789109,149.3309053,26.38,18.28,211.11,295.32,659.94,1.377046841,40,56882134,0.968078576,185.2257008,76.71,54.66,531.65,180.73,519.35,1.752066489,57.89473684
85,Forest,92649.87858,47282676,0.880917003,153.0916295,50.67,4.81,81.61,49.27,676.55,1.608282369,83.78378378,47502586,2.274708675,171.5166163,77.84,8.51,117.09,68.27,765.54,1.047576389,82.60869565
86,Forest,51923.01994,47362636,1.834166026,349.2996413,109.77,24.73,245.2,197.33,1311.2,1.185206573,55.88235294,47502586,2.274708675,171.5166163,77.84,8.51,117.09,68.27,765.54,1.047576389,82.60869565
