Pair.ID,LUCAS_ID,X_LAEA,Y_LAEA,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW,Distance,PA
44,50882638,5088000,2638000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.986517651,2.748506889,73.11028325,0.013493555,6.159480606,169198.1087,TRUE
45,52042676,5204000,2676000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.410320957,14.50947486,385.9520313,0.003654135,20.32425205,124193.3976,TRUE
46,54382628,5438000,2628000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.514006515,16.46181687,437.8843286,0.003457549,23.47956132,65604.87787,TRUE
47,55622854,5562000,2854000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.727934316,10.84157492,288.3858929,0.002524168,11.4214876,25298.22128,TRUE
48,33863294,3386000,3294000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,9.239524703,45.07296227,1198.940796,0.007706406,46.40522876,141322.3266,TRUE
49,35423508,3542000,3508000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.444790855,20.7014809,550.659392,0.002623747,36.17973802,127310.6437,TRUE
50,49803394,4980000,3394000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.478629579,5.677860697,151.0310945,0.00316908,2.593755163,88543.77448,TRUE
51,51083476,5108000,3476000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.701811907,3.103249928,82.54644809,0.008502024,3.368350842,100019.998,TRUE
52,51363400,5136000,3400000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.222954634,6.651156779,176.9207703,0.006912442,14.40424826,149893.2954,TRUE
53,33062044,3306000,2044000,Other coniferous woodland,Coniferous woodland,Woodland,Forest,0.618085106,11.38061466,302.7243499,0.002041742,6.421105027,72138.75519,TRUE
54,31542332,3154000,2332000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,3.046626984,17.07208995,454.1175926,0.006708894,28.57142857,74242.84477,TRUE
55,32402336,3240000,2336000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,2.149893843,12.62915782,335.935598,0.00639972,22.50740375,42941.82111,TRUE
56,39023026,3902000,3026000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.138322884,5.149555904,136.978187,0.008310249,14.03065521,213354.1657,TRUE
57,40002866,4000000,2866000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,3.345522543,29.54636748,785.9333749,0.004256751,19.91680532,26000,TRUE
58,49724396,4972000,4396000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.584908903,2.805660594,74.63057179,0.00783739,3.194675541,40049.96879,TRUE
59,41902558,4190000,2558000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.994279176,17.99071955,478.5531401,0.00416731,13.32231405,91301.69768,TRUE
60,52584068,5258000,4068000,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,0.952825112,13.84573991,368.2966816,0.002587113,7.606894266,23409.39982,TRUE
61,46422690,4642000,2690000,Spruce dominated coniferous woodland,Coniferous woodland,Woodland,Forest,13.37333736,59.54856913,1583.991939,0.008442806,44.94007989,34058.77273,TRUE
62,46282880,4628000,2880000,Other coniferous woodland,Coniferous woodland,Woodland,Forest,0.485466147,7.551695616,200.8751034,0.002416756,5.998000666,45122.05669,TRUE
