FID	FID_1	LUCAS_ID	FID_	CONTAINER_	Country	X_LAEA	Y_LAEA	Year	LC	Specific	Broad	Ours	Bas	MIRR	Cmic	qO2	H2O_FW	FID_2	LUCAS_ID_1	X_LAEA_1	Y_LAEA_1	LC_1	Specific_1	Broad_1	Ours_1	Bas_1	MIRR_1	Cmic_1	qO2_1	H2O_FW_1	Distance
36	38	34242272	77	416	SPAIN	3424000	2272000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.412289807	24.0654626	640.1413051	0.003768371	19.17785235	363	34442320	3444000	2320000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.358342189	15.11229189	401.9869642	0.00337907	21.85683441	52000
37	53	37382484	92	481	FRANCE	3738000	2484000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	3.340616375	34.42425636	915.6852193	0.003648215	28.26266293	389	37222482	3722000	2482000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.310106593	25.83168838	687.1229109	0.003361999	16.15359153	16124.5155
38	2	28282190	98	524	PORTUGAL	2828000	2190000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	1.398137138	11.95270181	317.9418681	0.004397462	15.94202899	448	28602222	2860000	2222000	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	0.460723297	4.979534623	132.455621	0.003478322	2.284681131	45254.834
39	39	34382156	8	41	SPAIN	3438000	2156000	2018	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	1.092528068	13.87082204	368.9638663	0.002961071	13.82819016	468	35042146	3504000	2146000	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	0.97808875	24.60504511	654.4942	0.001494419	10.26107072	66753.27707
40	43	35002236	67	360	FRANCE	3500000	2236000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	3.103001017	27.23041709	724.3290946	0.004283966	35.09409046	468	35042146	3504000	2146000	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	0.97808875	24.60504511	654.4942	0.001494419	10.26107072	90088.84504
41	139	54202132	131	723	BULGARIA	5420000	2132000	2018	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	0.373402915	3.933177374	104.6225181	0.003569049	6.9958159	571	53902268	5390000	2268000	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	1.096372093	15.95658915	424.4452713	0.002583071	23.7804878	139269.5229
42	141	54382676	136	760	ROMANIA	5438000	2676000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.355716878	11.82765342	314.6155811	0.004309122	17.88375559	615	54462696	5446000	2696000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.761619789	8.057716603	214.3352617	0.003553404	16.22660428	21540.65923
43	120	50882638	19	100	HUNGARY	5088000	2638000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.986517651	2.748506889	73.11028325	0.013493555	6.159480606	628	52362556	5236000	2556000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.609586394	9.304213375	247.4920758	0.002463054	14.01030414	169198.1087
44	128	52042676	142	799	ROMANIA	5204000	2676000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.410320957	14.50947486	385.9520313	0.003654135	20.32425205	628	52362556	5236000	2556000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.609586394	9.304213375	247.4920758	0.002463054	14.01030414	124193.3976
45	140	54382628	140	789	ROMANIA	5438000	2628000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	1.514006515	16.46181687	437.8843286	0.003457549	23.47956132	668	54902668	5490000	2668000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.774425574	28.91042291	769.0172494	0.002307394	17.30006609	65604.87787
46	149	55622854	147	814	ROMANIA	5562000	2854000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.727934316	10.84157492	288.3858929	0.002524168	11.4214876	680	55382862	5538000	2862000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.482932506	8.424489268	224.0914145	0.002155069	14.33792989	25298.22128
47	34	33863294	39	196	UK	3386000	3294000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	9.239524703	45.07296227	1198.940796	0.007706406	46.40522876	707	34503420	3450000	3420000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.938892062	16.53785139	439.9068469	0.006680715	25.42589438	141322.3266
48	45	35423508	84	452	UK	3542000	3508000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.444790855	20.7014809	550.659392	0.002623747	36.17973802	707	34503420	3450000	3420000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.938892062	16.53785139	439.9068469	0.006680715	25.42589438	127310.6437
